id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
1,2,3,5,4,2,0,5,4,2,3,3,2,2,0,5,5,2,0,1,2
2,0,0,2,3,0,1,0,3,0,1,3,1,1,2,3,1,1,3,2,2
3,1,1,5,0,1,5,0,1,1,1,3,1,4,0,1,4,4,0,4,3
4,2,2,4,4,2,1,0,0,0,3,4,4,2,0,5,2,1,2,2,3
5,2,1,5,5,2,4,4,5,5,2,5,3,2,1,2,2,4,0,5,5
6,0,5,4,4,2,5,1,4,4,5,4,4,3,2,1,2,3,1,4,0
7,0,5,5,4,2,3,3,4,0,4,4,2,1,1,2,0,5,2,3,0
8,1,1,5,2,1,0,2,2,1,0,2,5,1,1,0,3,2,5,0,2
9,0,2,4,1,0,4,0,3,5,3,1,3,4,1,0,3,4,4,2,0
10,2,3,4,4,2,5,1,5,2,0,4,1,0,1,4,3,3,5,1,1
11,2,1,5,1,2,5,0,5,1,3,1,0,5,0,1,3,3,5,1,3
12,3,1,4,4,3,4,1,5,4,0,3,1,1,3,0,2,4,5,1,0
13,0,5,3,5,2,5,3,5,0,5,5,2,0,3,2,5,4,2,3,2
14,2,1,4,0,3,2,3,1,0,1,2,4,2,0,1,3,3,3,0,0
15,0,3,4,4,1,4,4,4,2,1,3,5,2,0,0,4,5,3,0,2
16,1,2,4,0,0,4,2,3,0,3,5,2,1,3,1,2,4,2,3,1
17,3,3,2,5,0,5,0,5,2,2,5,2,2,1,5,5,5,0,1,3
18,0,1,3,4,3,5,0,5,0,4,4,1,2,2,3,3,3,4,2,1
19,3,2,3,1,0,4,0,3,3,0,1,2,1,1,0,0,3,2,3,2
20,0,2,4,5,1,5,3,1,3,3,3,0,5,0,4,4,4,4,2,0
21,3,0,5,0,2,5,1,5,2,4,2,5,2,2,0,4,0,2,2,3
22,3,0,5,1,2,5,5,5,2,0,2,1,0,3,1,4,4,0,2,0
23,2,2,2,5,0,1,2,5,3,3,5,5,0,1,3,2,4,2,1,0
24,3,2,5,5,0,3,0,4,2,3,3,0,3,1,4,5,5,1,1,5
25,3,2,5,4,1,5,0,4,0,2,5,1,2,1,4,2,5,5,3,3
26,1,2,0,5,2,2,2,5,3,0,2,3,1,0,0,0,3,2,1,3
27,0,1,3,0,0,4,0,1,0,3,3,3,3,2,0,3,4,2,0,0
28,3,4,0,5,1,5,4,0,0,0,0,3,3,1,5,0,3,2,2,1
29,1,3,5,3,2,0,1,5,3,4,4,2,2,1,2,3,2,1,3,3
30,0,3,4,2,0,2,2,4,5,0,5,0,2,0,4,4,2,4,3,3
